method,seed,episode,loss,reward,useful_correct,redundant_correct,no_search_correct,distractor_wrong,useful_minus_redundant,avg_prefix_ig,avg_redundancy_penalty
prefixig_tpo,2,100,1.4562621116638184,0.8333333134651184,0.8229166865348816,0.010416666977107525,0.0,0.02083333395421505,0.8125000195577741,0.9612038731575012,0.0520833320915699
prefixig_tpo,2,120,1.46847403049469,0.7916666865348816,0.7760416865348816,0.015625,0.0,0.015625,0.7604166865348816,0.9445366859436035,0.0716145858168602
prefixig_tpo_rg_eff,0,1,1.4323866367340088,0.0833333358168602,0.0364583320915699,0.02083333395421505,0.0,0.1875,0.01562499813735485,0.328104168176651,0.7890625
prefixig_tpo_rg_eff,0,20,0.9279918670654297,0.6302083134651184,0.609375,0.02083333395421505,0.0,0.02083333395421505,0.588541666045785,0.8690674901008606,0.1653645783662796
prefixig_tpo_rg_eff,0,40,1.2819600105285645,0.7447916865348816,0.7291666865348816,0.010416666977107525,0.0052083334885537624,0.03125,0.7187500195577741,0.9074785113334656,0.09765625
prefixig_tpo_rg_eff,0,60,1.2888906002044678,0.7864583134651184,0.7864583134651184,0.0,0.0,0.010416666977107525,0.7864583134651184,0.9371929168701172,0.0833333358168602
prefixig_tpo_rg_eff,0,80,1.4093272686004639,0.8177083134651184,0.8125,0.0,0.0,0.015625,0.8125,0.9616109728813171,0.0611979179084301
prefixig_tpo_rg_eff,0,100,1.3643639087677002,0.7864583134651184,0.7760416865348816,0.0052083334885537624,0.0052083334885537624,0.0,0.7708333530463278,0.9313057065010071,0.078125
prefixig_tpo_rg_eff,0,120,1.484550952911377,0.8333333134651184,0.8333333134651184,0.0,0.0,0.0052083334885537624,0.8333333134651184,0.965070903301239,0.02994791604578495
prefixig_tpo_rg_eff,1,1,1.459409236907959,0.0677083358168602,0.02604166604578495,0.02604166604578495,0.0,0.3697916567325592,0.0,0.2708321511745453,0.67578125
prefixig_tpo_rg_eff,1,20,1.0594793558120728,0.2291666716337204,0.203125,0.015625,0.015625,0.0520833320915699,0.1875,0.8284886479377747,0.1640625
prefixig_tpo_rg_eff,1,40,1.147558331489563,0.703125,0.6822916865348816,0.015625,0.0052083334885537624,0.02604166604578495,0.6666666865348816,0.8873979449272156,0.1263020783662796
prefixig_tpo_rg_eff,1,60,1.307525873184204,0.7083333134651184,0.6927083134651184,0.010416666977107525,0.010416666977107525,0.0364583320915699,0.6822916464880109,0.9240418076515198,0.0924479141831398
prefixig_tpo_rg_eff,1,80,1.439467430114746,0.8125,0.8072916865348816,0.0052083334885537624,0.0052083334885537624,0.0052083334885537624,0.8020833530463278,0.9414048194885254,0.08984375
prefixig_tpo_rg_eff,1,100,1.471114993095398,0.8020833134651184,0.7760416865348816,0.02083333395421505,0.0052083334885537624,0.02083333395421505,0.7552083525806665,0.9345846772193909,0.11328125
prefixig_tpo_rg_eff,1,120,1.4718222618103027,0.7447916865348816,0.7395833134651184,0.0052083334885537624,0.0,0.03125,0.7343749799765646,0.9267941117286682,0.0989583358168602
prefixig_tpo_rg_eff,2,1,1.4504718780517578,0.125,0.046875,0.0364583320915699,0.0052083334885537624,0.1822916716337204,0.0104166679084301,0.3420945405960083,0.9778645634651184
prefixig_tpo_rg_eff,2,20,1.0827257633209229,0.0625,0.046875,0.010416666977107525,0.0052083334885537624,0.0364583320915699,0.036458333022892475,0.8510457873344421,0.2161458283662796
prefixig_tpo_rg_eff,2,40,1.047866940498352,0.5677083134651184,0.546875,0.02083333395421505,0.0,0.02083333395421505,0.526041666045785,0.9129454493522644,0.1236979141831398
prefixig_tpo_rg_eff,2,60,1.3199586868286133,0.6875,0.65625,0.03125,0.0,0.02083333395421505,0.625,0.9069262146949768,0.1953125
prefixig_tpo_rg_eff,2,80,1.342705249786377,0.7291666865348816,0.7135416865348816,0.015625,0.0,0.0052083334885537624,0.6979166865348816,0.9405975341796875,0.0950520858168602
prefixig_tpo_rg_eff,2,100,1.4802298545837402,0.8385416865348816,0.8385416865348816,0.0,0.0,0.03125,0.8385416865348816,0.9599148631095886,0.0416666679084301
prefixig_tpo_rg_eff,2,120,1.470500111579895,0.8125,0.8072916865348816,0.0052083334885537624,0.0,0.02604166604578495,0.8020833530463278,0.9544532299041748,0.0625
